country,year,drought_impact
Belgium,2000,0
Belgium,2001,0
Belgium,2002,0
Belgium,2003,301
Belgium,2004,0
Belgium,2005,0
Belgium,2006,0
Belgium,2007,0
Belgium,2008,0
Belgium,2009,0
Belgium,2010,0
Belgium,2011,4105
Belgium,2012,0
Belgium,2013,109
Belgium,2014,12
Belgium,2015,0
Belgium,2016,0
Belgium,2017,3082
Belgium,2018,5364
Belgium,2019,2195
Belgium,2020,14041
Belgium,2021,1
Belgium,2022,16248
Bulgaria,2000,50059
Bulgaria,2001,39792
Bulgaria,2002,2282
Bulgaria,2003,4320
Bulgaria,2004,106
Bulgaria,2005,2
Bulgaria,2006,0
Bulgaria,2007,11663
Bulgaria,2008,372
Bulgaria,2009,2490
Bulgaria,2010,3
Bulgaria,2011,255
Bulgaria,2012,1355
Bulgaria,2013,147
Bulgaria,2014,34
Bulgaria,2015,20
Bulgaria,2016,18
Bulgaria,2017,1650
Bulgaria,2018,13
Bulgaria,2019,123
Bulgaria,2020,9008
Bulgaria,2021,275
Bulgaria,2022,5183
Czechia,2000,5728
Czechia,2001,943
Czechia,2002,888
Czechia,2003,15382
Czechia,2004,2414
Czechia,2005,6
Czechia,2006,47
Czechia,2007,3425
Czechia,2008,27
Czechia,2009,19
Czechia,2010,6
Czechia,2011,51
Czechia,2012,4612
Czechia,2013,0
Czechia,2014,215
Czechia,2015,6086
Czechia,2016,10
Czechia,2017,3377
Czechia,2018,20371
Czechia,2019,8240
Czechia,2020,1902
Czechia,2021,31
Czechia,2022,5571
Denmark,2000,12
Denmark,2001,0
Denmark,2002,0
Denmark,2003,24
Denmark,2004,136
Denmark,2005,64
Denmark,2006,94
Denmark,2007,0
Denmark,2008,340
Denmark,2009,414
Denmark,2010,13
Denmark,2011,59
Denmark,2012,31
Denmark,2013,488
Denmark,2014,52
Denmark,2015,0
Denmark,2016,2
Denmark,2017,7
Denmark,2018,18426
Denmark,2019,439
Denmark,2020,194
Denmark,2021,12
Denmark,2022,6439
Germany,2000,153
Germany,2001,48
Germany,2002,0
Germany,2003,61964
Germany,2004,2301
Germany,2005,57
Germany,2006,279
Germany,2007,168
Germany,2008,9
Germany,2009,173
Germany,2010,4
Germany,2011,14220
Germany,2012,3456
Germany,2013,2
Germany,2014,1089
Germany,2015,9538
Germany,2016,482
Germany,2017,2259
Germany,2018,86918
Germany,2019,67919
Germany,2020,66100
Germany,2021,354
Germany,2022,66991
Estonia,2000,43
Estonia,2001,0
Estonia,2002,4415
Estonia,2003,1710
Estonia,2004,0
Estonia,2005,0
Estonia,2006,30856
Estonia,2007,0
Estonia,2008,0
Estonia,2009,0
Estonia,2010,0
Estonia,2011,1
Estonia,2012,0
Estonia,2013,3
Estonia,2014,11
Estonia,2015,170
Estonia,2016,233
Estonia,2017,226
Estonia,2018,13469
Estonia,2019,3214
Estonia,2020,2
Estonia,2021,646
Estonia,2022,3079
Ireland,2000,0
Ireland,2001,0
Ireland,2002,0
Ireland,2003,690
Ireland,2004,16
Ireland,2005,0
Ireland,2006,165
Ireland,2007,0
Ireland,2008,1
Ireland,2009,3
Ireland,2010,31
Ireland,2011,3
Ireland,2012,2
Ireland,2013,978
Ireland,2014,231
Ireland,2015,2
Ireland,2016,0
Ireland,2017,24
Ireland,2018,1052
Ireland,2019,25
Ireland,2020,61
Ireland,2021,141
Ireland,2022,3638
Greece,2000,27986
Greece,2001,13141
Greece,2002,149
Greece,2003,42
Greece,2004,24
Greece,2005,15
Greece,2006,1
Greece,2007,12251
Greece,2008,6234
Greece,2009,435
Greece,2010,1350
Greece,2011,104
Greece,2012,5497
Greece,2013,920
Greece,2014,289
Greece,2015,27
Greece,2016,9636
Greece,2017,3451
Greece,2018,3374
Greece,2019,424
Greece,2020,1605
Greece,2021,5107
Greece,2022,5790
Spain,2000,13095
Spain,2001,5412
Spain,2002,12430
Spain,2003,4816
Spain,2004,24
Spain,2005,139565
Spain,2006,9570
Spain,2007,990
Spain,2008,4076
Spain,2009,38610
Spain,2010,975
Spain,2011,8908
Spain,2012,150313
Spain,2013,101
Spain,2014,16647
Spain,2015,8498
Spain,2016,21797
Spain,2017,28849
Spain,2018,1940
Spain,2019,28017
Spain,2020,148
Spain,2021,2367
Spain,2022,46481
France,2000,26
